STATE,RACE,S1_DEM_RATIO,S2_DEM_RATIO,S3_DEM_RATIO,S4_DEM_RATIO,S5_DEM_RATIO,S6_DEM_RATIO,S1_REP_RATIO,S2_REP_RATIO,S3_REP_RATIO,S4_REP_RATIO,S5_REP_RATIO,S6_REP_RATIO,S1_COR(DD),S2_COR(DD),S3_COR(DD),S4_COR(DD),S5_COR(DD),S6_COR(DD),S1_COR(RR),S2_COR(RR),S3_COR(RR),S4_COR(RR),S5_COR(RR),S6_COR(RR),TIGHT_RACE,WINNER
CO,D,0.686447114,0.727534796,0.793089426,0.829014984,0.871502181,0.897150518,1.089887635,1.129834535,1.144015603,1.19187782,1.243058347,1.473475376,0.922424404,0.899747147,0.905694436,0.901106745,0.955493203,0.979589729,0.953899846,0.936445804,0.972684728,0.938847593,0.977832156,0.981935427,FALSE,R
CO,D,0.953710904,0.932204218,0.940219363,0.958341325,0.995899352,1.000998969,1.032393894,1.062321721,1.077913534,1.072147359,1.011082842,0.995173238,0.729566184,0.798691045,0.611052161,0.934983619,0.887665133,0.941002103,0.854903102,0.807579762,0.519121245,0.845953023,0.86752598,0.903754526,FALSE,D
CO,D,0.714151541,0.706363183,0.772119394,0.771809784,0.772972403,0.851992253,1.065838767,1.104372836,1.111617481,1.144329551,1.203230569,1.25518875,0.875104681,0.891925714,0.947968806,0.965758366,0.920186918,0.879330011,0.950100535,0.929610036,0.978479059,0.97795152,0.972466042,0.951952476,FALSE,R
CO,D,1.21236787,1.162595178,1.091020646,1.006421936,0.975029249,0.944725717,0.935537359,0.931889412,0.95360983,0.99523976,1.021762645,1.089542103,0.971727439,0.80009419,0.883872338,0.949000615,0.951902929,0.90492354,0.991456226,0.868442379,0.918859198,0.969997988,0.956378705,0.965438403,FALSE,R
CO,D,0.984921852,1.013238043,1.002534709,0.996471976,0.988023121,0.978478041,1.01696414,0.978763662,0.992576274,1.014908939,1.059296535,1.227678499,0.931973726,0.907159543,0.837647587,0.800142812,0.891164626,0.839814012,0.973077135,0.906882882,0.807778797,0.811152143,0.855985491,0.833872409,FALSE,D
CO,D,1.053147072,1.028341553,0.974624857,0.931992183,0.908313519,0.892977444,0.966137716,0.971526821,1.033304441,1.102995051,1.166839959,1.288912137,0.765535636,0.558985725,0.530560175,0.678673496,0.57420642,0.665163449,0.777686132,0.571765435,0.53545146,0.745176946,0.615291448,0.681048579,FALSE,D
CO,D,0.89525081,0.883432147,0.886358226,0.86137898,0.874611887,0.876017867,1.061416864,1.091605258,1.1106213,1.161318752,1.210207666,1.419673686,0.975886861,0.964816982,0.951922657,0.965011904,0.955991254,0.945326129,0.981362269,0.976046897,0.97389536,0.964525757,0.977688526,0.966591866,TRUE,R
FL,D,1.07605853,0.891143523,0.935695749,0.870957117,0.855713018,0.846698027,0.987763933,1.053051956,1.039638324,1.095532774,1.13517834,1.867277162,0.882332692,0.892261973,0.932924195,0.837826365,0.862296422,0.954279714,0.94460372,0.868307071,0.922288586,0.84672657,0.836787599,0.838401116,FALSE,R
FL,D,0.913479496,0.855751806,0.848995249,0.837867672,0.808314686,0.863182406,1.040365842,1.091066549,1.11213053,1.145292309,1.198351408,1.26710995,0.907603374,0.967984868,0.97085381,0.989305227,0.963446903,0.897845814,0.884889657,0.944874561,0.957816624,0.998136741,0.903151739,0.574200256,FALSE,R
FL,D,1.352822703,1.092696927,1.079604766,0.955942384,0.949049075,0.870658002,0.705695368,0.884870917,0.881839366,1.082259528,1.122756226,2.61084808,0.39943399,0.390995148,0.141712599,0.207967028,0.048203601,0.149232332,0.467805261,0.539480171,0.111174995,0.248501912,0.031437637,0.167276018,FALSE,D
