DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
D8,U.S. Representative District 8,67,13,MN,399,779
D8,U.S. Representative District 8,68,9,MN,34,41
D8,U.S. Representative District 8,70,1,MN,149,161
D8,U.S. Representative District 8,70,4,MN,25,60
D8,U.S. Representative District 8,70,9,MN,32,29
D8,U.S. Representative District 8,70,11,MN,17,37
D8,U.S. Representative District 8,70,13,MN,334,417
D8,U.S. Representative District 8,70,18,MN,209,163
D8,U.S. Representative District 8,70,29,MN,101,117
D8,U.S. Representative District 8,70,30,MN,190,323
D8,U.S. Representative District 8,70,31,MN,120,136
D8,U.S. Representative District 8,70,33,MN,560,637
D8,U.S. Representative District 8,70,36,MN,27,47
D8,U.S. Representative District 8,70,38,MN,260,170
D8,U.S. Representative District 8,70,48,MN,439,629
D8,U.S. Representative District 8,70,49,MN,28,66
D8,U.S. Representative District 8,70,58,MN,5,42
D8,U.S. Representative District 8,70,69,MN,292,223
D8,U.S. Representative District 8,70,80,MN,59,111
D8,U.S. Representative District 8,74,31,MN,68,54
D8,U.S. Representative District 8,75,1,MN,34,58
D8,U.S. Representative District 8,75,9,MN,48,37
D8,U.S. Representative District 8,75,11,MN,159,40
D8,U.S. Representative District 8,75,13,MN,123,261
D8,U.S. Representative District 8,75,18,MN,255,542
D8,U.S. Representative District 8,75,29,MN,16,26
D8,U.S. Representative District 8,75,30,MN,309,768
D8,U.S. Representative District 8,75,36,MN,288,272
D8,U.S. Representative District 8,75,48,MN,224,474
D8,U.S. Representative District 8,75,49,MN,0,15
D8,U.S. Representative District 8,75,58,MN,109,221
D8,U.S. Representative District 8,75,69,MN,16,8
D8,U.S. Representative District 8,75,80,MN,81,144
D8,U.S. Representative District 8,76,18,MN,256,367
D8,U.S. Representative District 8,76,31,MN,31,43
D8,U.S. Representative District 8,80,1,MN,53,98
D8,U.S. Representative District 8,80,4,MN,333,408
D8,U.S. Representative District 8,80,9,MN,131,154
D8,U.S. Representative District 8,80,11,MN,30,32
D8,U.S. Representative District 8,80,13,MN,162,223
D8,U.S. Representative District 8,80,18,MN,283,580
D8,U.S. Representative District 8,80,29,MN,248,338
D8,U.S. Representative District 8,80,30,MN,307,579
D8,U.S. Representative District 8,80,33,MN,52,70
D8,U.S. Representative District 8,80,36,MN,111,143
D8,U.S. Representative District 8,80,38,MN,160,140
D8,U.S. Representative District 8,80,48,MN,186,431
D8,U.S. Representative District 8,80,49,MN,33,179
D8,U.S. Representative District 8,80,58,MN,3,9
D8,U.S. Representative District 8,80,69,MN,222,188
D8,U.S. Representative District 8,80,80,MN,42,57
D8,U.S. Representative District 8,82,1,MN,6,12
D8,U.S. Representative District 8,82,18,MN,0,3
D8,U.S. Representative District 8,82,36,MN,107,128
D8,U.S. Representative District 8,83,36,MN,90,118
D8,U.S. Representative District 8,85,1,MN,49,67
D8,U.S. Representative District 8,85,4,MN,1,3
D8,U.S. Representative District 8,85,9,MN,599,590
D8,U.S. Representative District 8,85,11,MN,153,170
D8,U.S. Representative District 8,85,13,MN,181,324
D8,U.S. Representative District 8,85,18,MN,68,72
D8,U.S. Representative District 8,85,29,MN,67,148
D8,U.S. Representative District 8,85,31,MN,465,431
D8,U.S. Representative District 8,85,33,MN,174,236
D8,U.S. Representative District 8,85,48,MN,10,27
D8,U.S. Representative District 8,85,49,MN,98,234
D8,U.S. Representative District 8,85,58,MN,34,80
D8,U.S. Representative District 8,85,69,MN,513,611
D8,U.S. Representative District 8,85,80,MN,106,181
D8,U.S. Representative District 8,86,13,MN,10,20
D8,U.S. Representative District 8,90,9,MN,52,77
D8,U.S. Representative District 8,90,11,MN,22,39
D8,U.S. Representative District 8,90,13,MN,214,354
D8,U.S. Representative District 8,90,18,MN,80,165
D8,U.S. Representative District 8,90,29,MN,27,54
D8,U.S. Representative District 8,90,31,MN,172,199
D8,U.S. Representative District 8,90,33,MN,54,117
D8,U.S. Representative District 8,90,36,MN,104,121
D8,U.S. Representative District 8,90,38,MN,244,192
D8,U.S. Representative District 8,90,48,MN,127,113
D8,U.S. Representative District 8,90,49,MN,22,25
D8,U.S. Representative District 8,90,58,MN,55,137
D8,U.S. Representative District 8,90,69,MN,49,56
D8,U.S. Representative District 8,90,80,MN,120,282
D8,U.S. Representative District 8,95,4,MN,44,107
D8,U.S. Representative District 8,95,9,MN,37,30
D8,U.S. Representative District 8,95,11,MN,195,418
D8,U.S. Representative District 8,95,13,MN,328,607
D8,U.S. Representative District 8,95,18,MN,279,500
D8,U.S. Representative District 8,95,29,MN,170,200
D8,U.S. Representative District 8,95,31,MN,0,1
D8,U.S. Representative District 8,95,33,MN,20,22
D8,U.S. Representative District 8,95,48,MN,91,106
D8,U.S. Representative District 8,95,49,MN,6,3
D8,U.S. Representative District 8,95,58,MN,19,38
D8,U.S. Representative District 8,95,69,MN,242,181
D8,U.S. Representative District 8,95,80,MN,54,147
D8,U.S. Representative District 8,96,31,MN,126,167
D8,U.S. Representative District 8,97,29,MN,19,20
D8,U.S. Representative District 8,100,1,MN,4,9
D8,U.S. Representative District 8,100,9,MN,58,47
D8,U.S. Representative District 8,100,13,MN,246,216
D8,U.S. Representative District 8,100,18,MN,17,35
D8,U.S. Representative District 8,100,29,MN,22,27
D8,U.S. Representative District 8,100,31,MN,0,0
D8,U.S. Representative District 8,100,33,MN,104,205
D8,U.S. Representative District 8,100,36,MN,4,19
D8,U.S. Representative District 8,100,48,MN,83,221
D8,U.S. Representative District 8,100,49,MN,14,68
D8,U.S. Representative District 8,100,58,MN,13,4
D8,U.S. Representative District 8,100,69,MN,1180,750
D8,U.S. Representative District 8,100,80,MN,154,285
D8,U.S. Representative District 8,101,31,MN,128,187
D8,U.S. Representative District 8,105,1,MN,11,8
D8,U.S. Representative District 8,105,4,MN,87,225
D8,U.S. Representative District 8,105,9,MN,181,151
D8,U.S. Representative District 8,105,11,MN,23,16
D8,U.S. Representative District 8,105,13,MN,1516,2298
