STATE,COUNTY,PRECINCT,REP,DEM,LLOYD J PRINCETON
NM,BERNALILLO,518,260.0,285.0,45.0
NM,BERNALILLO,519,127.0,141.0,20.0
NM,BERNALILLO,520,368.0,392.0,27.0
NM,BERNALILLO,521,254.0,264.0,31.0
NM,BERNALILLO,522,375.0,406.0,42.0
NM,BERNALILLO,523,206.0,230.0,30.0
NM,BERNALILLO,524,129.0,104.0,14.0
NM,BERNALILLO,525,200.0,305.0,28.0
NM,BERNALILLO,526,322.0,306.0,20.0
NM,BERNALILLO,527,123.0,88.0,11.0
NM,BERNALILLO,528,125.0,101.0,16.0
NM,BERNALILLO,529,357.0,419.0,30.0
NM,BERNALILLO,530,258.0,343.0,28.0
NM,BERNALILLO,531,116.0,234.0,32.0
NM,BERNALILLO,532,141.0,212.0,33.0
NM,BERNALILLO,533,130.0,190.0,28.0
NM,BERNALILLO,534,200.0,266.0,32.0
NM,BERNALILLO,535,121.0,196.0,17.0
NM,BERNALILLO,536,101.0,145.0,13.0
NM,BERNALILLO,537,296.0,401.0,23.0
NM,BERNALILLO,538,247.0,357.0,27.0
NM,BERNALILLO,539,337.0,446.0,20.0
NM,BERNALILLO,540,266.0,353.0,39.0
NM,BERNALILLO,541,939.0,466.0,53.0
NM,BERNALILLO,542,146.0,212.0,25.0
NM,BERNALILLO,543,102.0,199.0,13.0
NM,BERNALILLO,544,207.0,299.0,28.0
NM,BERNALILLO,545,158.0,250.0,28.0
NM,BERNALILLO,546,253.0,241.0,27.0
NM,BERNALILLO,547,145.0,269.0,23.0
NM,BERNALILLO,548,324.0,348.0,28.0
NM,BERNALILLO,549,240.0,304.0,33.0
NM,BERNALILLO,550,176.0,291.0,10.0
NM,BERNALILLO,551,44.0,103.0,5.0
NM,BERNALILLO,552,329.0,399.0,48.0
NM,BERNALILLO,553,807.0,605.0,102.0
NM,BERNALILLO,554,200.0,223.0,20.0
NM,BERNALILLO,555,170.0,230.0,19.0
NM,BERNALILLO,556,211.0,204.0,23.0
NM,BERNALILLO,557,961.0,669.0,88.0
NM,BERNALILLO,558,174.0,198.0,15.0
NM,BERNALILLO,559,453.0,530.0,41.0
NM,BERNALILLO,560,578.0,401.0,40.0
NM,BERNALILLO,561,300.0,333.0,37.0
NM,BERNALILLO,562,344.0,551.0,40.0
NM,BERNALILLO,563,392.0,312.0,33.0
NM,BERNALILLO,564,191.0,155.0,16.0
NM,BERNALILLO,565,238.0,224.0,21.0
NM,BERNALILLO,566,457.0,389.0,35.0
NM,BERNALILLO,567,56.0,32.0,5.0
NM,BERNALILLO,568,518.0,302.0,27.0
NM,BERNALILLO,569,509.0,585.0,30.0
NM,BERNALILLO,570,323.0,334.0,32.0
NM,BERNALILLO,571,387.0,422.0,43.0
NM,BERNALILLO,572,154.0,158.0,14.0
NM,BERNALILLO,573,500.0,377.0,37.0
NM,BERNALILLO,601,311.0,273.0,24.0
NM,BERNALILLO,602,742.0,478.0,30.0
NM,BERNALILLO,603,1014.0,1047.0,68.0
NM,SANDOVAL,1,248.0,484.0,41.0
NM,SANDOVAL,2,151.0,490.0,35.0
NM,SANDOVAL,3,104.0,294.0,26.0
NM,SANDOVAL,4,97.0,189.0,15.0
NM,SANDOVAL,5,386.0,742.0,55.0
NM,SANDOVAL,28,285.0,225.0,14.0
NM,SANDOVAL,29,14.0,206.0,2.0
NM,SANDOVAL,38,343.0,361.0,40.0
NM,SANDOVAL,52,115.0,138.0,8.0
NM,SANDOVAL,55,329.0,496.0,27.0
NM,SANDOVAL,56,186.0,267.0,18.0
NM,SANDOVAL,57,244.0,246.0,16.0
NM,SANDOVAL,64,459.0,424.0,38.0
NM,SANDOVAL,74,679.0,685.0,58.0
NM,SANDOVAL,76,376.0,561.0,20.0
NM,SANTA FE,15,334.0,219.0,28.0
NM,SANTA FE,73,562.0,350.0,45.0
NM,SANTA FE,84,591.0,322.0,63.0
NM,TORRANCE,1,230.0,143.0,19.0
NM,TORRANCE,2,148.0,48.0,6.0
NM,TORRANCE,3,104.0,78.0,3.0
NM,TORRANCE,4,74.0,68.0,5.0
NM,TORRANCE,5,636.0,394.0,70.0
NM,TORRANCE,6,486.0,298.0,40.0
NM,TORRANCE,7,234.0,138.0,22.0
NM,TORRANCE,8,66.0,44.0,12.0
NM,TORRANCE,9,197.0,166.0,22.0
NM,TORRANCE,10,156.0,108.0,13.0
NM,TORRANCE,11,35.0,28.0,3.0
NM,TORRANCE,12,50.0,8.0,2.0
NM,TORRANCE,13,394.0,204.0,28.0
NM,TORRANCE,14,45.0,14.0,3.0
NM,TORRANCE,15,127.0,58.0,8.0
NM,TORRANCE,16,140.0,126.0,11.0
NM,VALENCIA,6,370.0,347.0,26.0
NM,VALENCIA,16,160.0,300.0,27.0
NM,VALENCIA,22,149.0,117.0,17.0
NM,VALENCIA,28,224.0,301.0,21.0
